Student,Project 1 - COVID Tracker,Project 1 - Heart Disease,Project 1 - NFL Combine,Project 1 - US Health Insurance,Project 1 - Homelessness,Project 1 - College Majors,Project 2 - Heart Disease,Project 2 - NFL Combine,Project 2 - US Health Insurance,Project 2 - Homelessness,Project 2 - College Majors,Project 3 - Heart Disease,Project 3 - NFL Combine,Project 3 - US Health Insurance,Project 3 - Homelessness,Project 3 - College Majors,Project 2 - COVID 19 Tracker,Project 3 - COVID 19 Tracker
F23.67,0,0,0,0,13,0,0,0,0,12,0,0,0,0,14,0,0,0
F23.68,0,0,15,0,0,0,0,13,0,0,0,0,15,0,0,0,0,0
F23.69,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,15,0,0
F23.70,0,12,0,0,0,0,13,0,0,0,0,15,0,0,0,0,0,0
F23.71,0,0,0,0,0,15,0,0,0,0,0,0,0,0,14,0,14,0
F23.72,0,15,0,0,0,0,15,0,0,0,0,12,0,0,0,0,0,0
F23.73,13,0,0,0,0,0,0,0,11,0,0,0,15,0,0,0,0,0
F23.74,0,12,0,0,0,0,11,0,0,0,0,15,0,0,0,0,0,0
F23.75,0,0,0,0,13,0,0,0,0,14,0,0,0,0,14,0,0,0
F23.76,0,0,0,13,0,0,13,0,0,0,0,13,0,0,0,0,0,0
F23.77,9,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0
F23.78,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,0,0
F23.79,0,0,9,0,0,0,0,0,0,0,11.5,0,14,0,0,0,0,0
F23.80,0,0,0,12,0,0,0,0,0,15,0,13,0,0,0,0,0,0
F23.81,0,13,0,0,0,0,13,0,0,0,0,15,0,0,0,0,0,0
F23.82,0,0,0,0,0,11,0,0,0,0,15,0,0,0,0,15,0,0
F23.83,0,0,0,0,0,15,0,0,0,0,14.5,0,0,0,0,15,0,0
F23.84,0,15,0,0,0,0,12,0,0,0,0,14,0,0,0,0,0,0
F23.85,0,15,0,0,0,0,12,0,0,0,0,13,0,0,0,0,0,0
F23.86,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0
F23.87,0,0,9,0,0,0,0,11,0,0,0,0,13,0,0,0,0,0
F23.88,0,0,13,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
F23.89,0,0,0,0,14,0,0,0,0,15,0,0,0,0,15,0,0,0
F23.90,0,0,15,0,0,0,0,14,0,0,0,0,13,0,0,0,0,0
F23.91,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,15,15,0
F23.92,0,0,0,0,0,14,0,0,0,15,0,0,0,0,0,13,0,0
F23.93,0,0,9,0,0,0,0,14,0,0,0,0,15,0,0,0,0,0
F23.94,0,8,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0
F23.95,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0
F23.96,0,0,0,14,0,0,0,0,15,0,0,0,0,14,0,0,0,0
F23.97,0,10,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
F23.98,0,0,0,0,0,11,0,0,0,0,14.5,0,0,0,0,15,0,0
F23.99,0,0,0,15,0,0,14,0,0,0,0,15,0,0,0,0,0,0
F23.100,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14
F23.101,0,0,0,0,13,0,0,0,0,15,0,0,0,0,15,0,0,0
F23.102,0,9,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0
F23.103,0,9,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0
F23.104,0,0,11,0,0,0,0,14,0,0,0,0,15,0,0,0,0,0
F23.105,0,0,0,0,15,0,0,0,0,15,0,0,0,0,15,0,0,0
F23.106,0,0,11,0,0,0,0,15,0,0,0,0,12,0,0,0,0,0
F23.107,0,0,11,0,0,0,0,15,0,0,0,0,14,0,0,0,0,0
F23.108,0,0,0,0,0,13,0,0,0,0,11,0,0,0,0,8,0,0
F23.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F23.110,0,0,0,0,0,13,11,0,0,0,0,14,0,0,0,0,0,0
F23.111,13,0,0,0,0,0,0,14,0,0,0,0,0,0,0,15,0,0
F23.112,0,14,0,0,0,0,14,0,0,0,0,15,0,0,0,0,0,0
F23.113,0,0,0,0,0,11,0,0,0,0,14.5,0,0,0,0,14,0,0
F23.114,0,0,13,0,0,0,0,14,0,0,0,0,13,0,0,0,0,0
F23.115,0,0,0,0,0,14,0,0,0,0,15,0,0,0,0,15,0,0
