Student,HW 0: Getting Ready! (810075),HW 1: Vocab (810068),HW 2: Qualitative Data (810069),HW 3: Quantitative Displays (810070),HW 4: Quantitative Data part 1 (810071),HW 5: Quantitative Data part 2 (810074),HW 6: Relative Position (810072),HW 7R: Midterm 1 Review NO DROP (810073),HW 8: Scatterplots and correlation (817337),"HW 9: Correlation, Regression (817338)",HW 10: Probability Part 1 (817339),HW 11: Probability Part 2 (817340),HW 12: RV & Normal Dist part 1 (833866),HW 13: Normal Distribution part 2 (833867),HW 14: Sampling Distributions of p-hat (833868),HW 15: 1 sample CI for p (part 1) (833869),HW 16: 1 sample CI for p (part 2) (833871),HW 17: Intro to Hypothesis Testing (833870),HW 18R: Midterm 2 Review - NO DROP (833865),HW 19: 1 sample HT for p (851955),HW 20R: Final Exam Review 1 - NO DROP (851958),HW 21: Sampling Distribution of x-bar (851954),HW 22: 1 sample CI for mu (851956),HW 23: 1 sample HT for mu (851957),HW 24R: Final Exam Review 2 - NO DROP (851959),Project 1 - COVID Tracker (810061),Project 1 - Heart Disease (810063),Project 1 - NFL Combine (810065),Project 1 - US Health Insurance (810066),Project 1 - Homelessness (810064),Project 1 - College Majors (810062),Project 2 - COVID 19 (821369),Project 2 - Heart Disease (821370),Project 2 - NFL Combine (821372),Project 2 - US Health Insurance (821373),Project 2 - Homelessness (821371),Project 2 - College Majors (820644),Project 3 - COVID Tracker (848640),Project 3 - Heart Disease (848639),Project 3 - NFL Combine (848637),Project 3 - US Health Insurance (848636),Project 3 - Homelessness (848638),Project 3 - College Majors (848635),Lecture 08.22 (782980),Lecture 08.24 (794986),Lecture 09.05 (803069),Lecture 09.07 (804537),Lecture 09.12 (807992),Lecture 09.14 (809359),Lecture 09.19 (812140),Lecture 09.21 (813748),Lecture 09.26 (816446),Lecture 09.28 (817928),Lecture 10.03 (820368),Lecture 10.05 (821949),Lecture 10.10 (824809),Lecture 10.12 (826172),Lecture 10.17 (828610),Lecture 10.19 (829874),Lecture 10.24 (832155),Lecture 10/26 (833546),Lecture 10.31 (836629),Lecture 11.02 (838062),Lecture 11.07 (840422),Lecture 11.09 (842069),Lecture 11.14 (844526),Lecture 11.16 (846793),Lecture 11.28 (851001),Lecture 11.30 (855020),Lecture 12.05 (854764),Lecture 12.07 (856370),Activity Week 1 (759915),Activity Week 2 (752808),Activity Week 3 (752809),Activity Week 4 (752810),Activity Week 5 (752811),Activity Week 6 (752812),Activity Week 7 (752813),Activity Week 8 (752814),Activity Week 9 (752815),Activity Week 10 (752802),Activity Week 11 (752803),Activity Week 12 (752804),Activity Week 13 (752805),Activity Week 15 (752806),Activity Week 16 (752807),Midterm 1 (752797),Midterm 2 (752798),Maintenance - Midterm 1 (752795),Maintenance - Midterm 2  (752796),Final Exam (752793),Lecture Attendance & Participation Current Score,Lecture Attendance & Participation Unposted Current Score,Lecture Attendance & Participation Final Score,Lecture Attendance & Participation Unposted Final Score,Activity Attendance & Participation Current Score,Activity Attendance & Participation Unposted Current Score,Activity Attendance & Participation Final Score,Activity Attendance & Participation Unposted Final Score,Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Projects Current Score,Projects Unposted Current Score,Projects Final Score,Projects Unposted Final Score,Midterm Exams Current Score,Midterm Exams Unposted Current Score,Midterm Exams Final Score,Midterm Exams Unposted Final Score,Maintenance Current Score,Maintenance Unposted Current Score,Maintenance Final Score,Maintenance Unposted Final Score,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Current Grade,Unposted Current Grade,Final Grade,Unposted Final Grade,Override Score,Override Grade,Override Status
F23.68,10,10,10,5,10,10,9.79,10,9.43,10,10,9.37,10,9.73,10,10,5,9.36,10,10,10,10,8.11,4.83,10,0,0,15,0,0,0,0,0,13,0,0,0,0,0,15,0,0,0,3,3,3,2,3,3,2,0,1,2,3,3,3,2,3,2,3,2,3,2,3,5,1,4,2,3,6,11,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,95,92,20,20,184,97.59,97.59,97.59,97.59,100,100,100,100,98.09,98.09,98.09,98.09,95.56,95.56,95.56,95.56,93.5,93.5,93.5,93.5,100,100,100,100,92,92,92,92,95.58,95.58,95.58,95.58,A,A,A,A,,,
F23.69,10,0,9.54,9.3,9.56,10,0,8.56,9.44,10,10,9.37,0,1.3,0,1.85,8.34,1.25,0.25,9.41,10,9.71,10,9.33,7.59,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0,15,0,2,3,2,3,2,2,2,2,0,2,0,0,1,3,2,2,0,2,2,3,0,2,0,3,2,6,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,93,81,20,20,160,72.73,72.73,72.73,72.73,100,100,100,100,74.91,74.91,74.91,74.91,100,100,100,100,87,87,87,87,100,100,100,100,80,80,80,80,85.46,85.46,85.46,85.46,B,B,B,B,,,
F23.70,10,10,9.54,10,9.57,10,10,10,9.81,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,12,0,0,0,0,0,13,0,0,0,0,0,15,0,0,0,0,3,3,3,2,3,3,1,2,0,2,3,3,3,2,4,2,3,2,3,2,3,5,2,4,3,3,6,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,95,99,20,20,172,100,100,100,100,100,100,100,100,100,100,100,100,88.89,88.89,88.89,88.89,97,97,97,97,100,100,100,100,86,86,86,86,95.33,95.33,95.33,95.33,A,A,A,A,,,
F23.71,8.33,9.32,10,10,8.69,10,9.37,10,9.81,8.52,10,10,0,10,10,10,10,8.74,10,10,0,10,10,8.98,8.15,0,0,0,0,0,15,14,0,0,0,0,0,0,0,0,0,14,0,3,3,3,2,3,3,2,2,0,0,3,3,3,2,4,2,3,2,3,2,3,5,2,4,3,3,6,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,94,98,20,20,188,100,100,100,100,100,100,100,100,92.3,92.3,92.3,92.3,95.56,95.56,95.56,95.56,96,96,96,96,100,100,100,100,94,94,94,94,95.31,95.31,95.31,95.31,A,A,A,A,,,
F23.72,10,10,9.54,9.6,9.57,10,9.58,10,9.81,10,10,9.37,10,9.74,9.72,9.47,10,9.69,9.75,10,9.8,9.71,9.38,10,10,0,15,0,0,0,0,0,15,0,0,0,0,0,12,0,0,0,0,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,1,2,0,3,3,6,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,78,80,20,20,146,100,100,100,100,100,100,100,100,98.41,98.41,98.41,98.41,93.33,93.33,93.33,93.33,79,79,79,79,100,100,100,100,73,73,73,73,88.25,88.25,88.25,88.25,B,B,B,B,,,
F23.73,0,9,9.54,0,9.57,10,10,9.77,9.44,10,10,9.37,9.78,10,10,9.47,10,9.36,10,10,9.8,10,10,10,10,13,0,0,0,0,0,0,0,0,11,0,0,0,0,15,0,0,0,3,3,3,2,3,1,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,4,3,3,6,11,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,93.5,96,20,20,177,100,100,100,100,100,100,100,100,98.23,98.23,98.23,98.23,86.67,86.67,86.67,86.67,94.75,94.75,94.75,94.75,100,100,100,100,88.5,88.5,88.5,88.5,94.26,94.26,94.26,94.26,A,A,A,A,,,
F23.74,10,10,9.54,10,9.13,10,8.95,10,9.05,8.89,10,10,9.31,8.14,7.78,8.96,10,9.68,10,10,10,10,8.74,9.01,10,0,12,0,0,0,0,0,11,0,0,0,0,0,15,0,0,0,0,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,4,3,3,6,11,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,84,55,20,20,98,100,100,100,100,100,100,100,100,96.6,96.6,96.6,96.6,84.44,84.44,84.44,84.44,69.5,69.5,69.5,69.5,100,100,100,100,49,49,49,49,80.02,80.02,80.02,80.02,B,B,B,B,,,
F23.75,10,8.33,10,4.85,9.56,9.64,9.18,5,8.29,8.52,10,10,6.78,8.14,10,9.47,9.16,9.69,9.75,8.82,9.8,10,8.74,9.67,8.15,0,0,0,0,13,0,0,0,0,0,14,0,0,0,0,0,14,0,3,3,2,2,2,3,1,1,1,2,0,3,0,1,4,2,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,2,59,46,20,20,140,55.22,55.22,55.22,55.22,84.62,84.62,84.62,84.62,91.71,91.71,91.71,91.71,91.11,91.11,91.11,91.11,52.5,52.5,52.5,52.5,100,100,100,100,70,70,70,70,74.84,74.84,74.84,74.84,C,C,C,C,,,
F23.76,10,9.34,10,9.6,10,10,9.8,10,8.87,8.52,10,9.37,9.56,9.73,10,10,10,10,10,9.42,10,10,10,9.67,9.63,0,0,0,13,0,0,0,13,0,0,0,0,0,13,0,0,0,0,3,3,3,2,3,3,2,2,1,2,3,3,3,2,4,2,3,2,3,2,3,5,2,4,3,3,6,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,79.5,75,20,20,75,100,100,100,100,100,100,100,100,98.54,98.54,98.54,98.54,86.67,86.67,86.67,86.67,77.25,77.25,77.25,77.25,100,100,100,100,37.5,37.5,37.5,37.5,81.43,81.43,81.43,81.43,B,B,B,B,,,
F23.77,0,9.67,4.56,0,5.67,0,1.2,8.32,9.08,0,8.65,8.13,0,8.68,6.13,5.81,0,9.69,8.5,8.23,0,10,6.25,4.98,9.63,9,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,EX,EX,0,2,3,3,1,2,2,2,3,3,3,0,4,2,3,2,3,2,3,0,0,4,3,0,0,11,EX,2,2,2,2,2,2,2,2,2,0,2,2,2,0,64,44,20,20,109.9,88.41,88.41,88.41,88.41,100,100,100,100,60.54,60.54,60.54,60.54,40,40,40,40,54,54,54,54,100,100,100,100,54.95,54.95,54.95,54.95,60,60,60,60,D,D,D,D,,,
F23.78,10,10,4.77,10,9.57,10,10,5,8.68,10,5,10,9.77,9.73,10,9.47,10,8.1,9.75,5.87,4.6,10,9.37,7.16,10,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0,0,0,3,3,3,2,3,2,1,2,2,2,3,3,3,0,3,2,3,2,3,2,3,5,2,0,2,3,0,11,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,74,58,20,20,97,94.81,94.81,94.81,94.81,100,100,100,100,91.45,91.45,91.45,91.45,66.67,66.67,66.67,66.67,66,66,66,66,100,100,100,100,48.5,48.5,48.5,48.5,74.68,74.68,74.68,74.68,C,C,C,C,,,
F23.79,10,8.67,9.54,10,9.57,10,9.79,10,9.43,10,10,9.37,3.39,8.95,10,10,4.15,8.72,8.75,9.42,8.8,10,10,10,8.52,0,0,9,0,0,0,0,0,0,0,0,11.5,0,0,14,0,0,0,3,3,3,0,3,3,1,1,1,0,3,3,3,2,4,0,0,2,2,0,2,2,2,4,2,0,4,8,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,58,34,20,20,97,75.64,75.64,75.64,75.64,100,100,100,100,95.85,95.85,95.85,95.85,76.67,76.67,76.67,76.67,46,46,46,46,100,100,100,100,48.5,48.5,48.5,48.5,70.32,70.32,70.32,70.32,C,C,C,C,,,
F23.80,9.16,9.67,8.16,9.1,9.57,10,9.58,9.76,9.43,9.26,10,8.74,0,9.73,9.72,10,9.16,7.15,9.75,9.41,9.8,10,10,9.67,9.63,0,0,0,12,0,0,0,0,0,0,15,0,0,13,0,0,0,0,EX,EX,2,2,3,3,1,2,1,2,3,2,2,2,4,2,3,2,3,2,3,5,2,4,3,3,6,9,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,84.5,87,20,20,151,95.59,95.59,95.59,95.59,100,100,100,100,95.97,95.97,95.97,95.97,88.89,88.89,88.89,88.89,85.75,85.75,85.75,85.75,100,100,100,100,75.5,75.5,75.5,75.5,89.16,89.16,89.16,89.16,B,B,B,B,,,
F23.81,10,9.66,9.54,10,10,9.65,9.37,10,8.86,10,10,10,3.61,6.83,10,10,10,8.74,10,8.82,7.6,10,10,8.98,9.63,0,13,0,0,0,0,0,13,0,0,0,0,0,15,0,0,0,0,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,4,2,0,3,3,6,0,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,93,87,20,20,162,100,100,100,100,100,100,100,100,96.41,96.41,96.41,96.41,91.11,91.11,91.11,91.11,90,90,90,90,100,100,100,100,81,81,81,81,91.92,91.92,91.92,91.92,A,A,A,A,,,
F23.82,10,10,10,9.6,9.57,10,10,10,10,10,0,10,10,10,10,10,10,10,10,9.41,10,10,10,10,9.26,0,0,0,0,0,11,0,0,0,0,0,15,0,0,0,0,0,15,3,3,3,2,3,3,2,2,2,2,3,2,3,2,4,2,3,2,3,2,3,5,2,4,3,3,6,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,91,98,20,20,174,100,100,100,100,100,100,100,100,99.48,99.48,99.48,99.48,91.11,91.11,91.11,91.11,94.5,94.5,94.5,94.5,100,100,100,100,87,87,87,87,94.94,94.94,94.94,94.94,A,A,A,A,,,
F23.83,10,10,10,9.7,9.57,10,9.79,10,7.54,10,10,9.37,10,10,10,10,10,9.68,10,8.82,10,10,10,9.67,10,0,0,0,0,0,15,0,0,0,0,0,14.5,0,0,0,0,0,15,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,4,3,2,5,11,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,86,75,20,20,179,100,100,100,100,100,100,100,100,99.28,99.28,99.28,99.28,98.89,98.89,98.89,98.89,80.5,80.5,80.5,80.5,100,100,100,100,89.5,89.5,89.5,89.5,92.23,92.23,92.23,92.23,A,A,A,A,,,
F23.84,10,4.84,9.54,10,8.26,10,9.79,10,10,10,10,9.37,10,10,9.72,10,10,4.98,10,9.41,10,0,8.12,9.66,0,0,15,0,0,0,0,0,12,0,0,0,0,0,14,0,0,0,0,3,3,0,1,3,2,2,2,2,2,3,3,3,2,3,2,2,2,3,2,0,5,2,4,3,3,6,11,2,2,2,2,2,2,2,0,2,0,2,0,2,0,2,80,62,20,0,146,96.3,96.3,96.3,96.3,84.62,84.62,84.62,84.62,92.67,92.67,92.67,92.67,91.11,91.11,91.11,91.11,71,71,71,71,50,50,50,50,73,73,73,73,80.63,80.63,80.63,80.63,B,B,B,B,,,
F23.85,10,10,9.54,10,10,10,10,10,9.62,9.63,10,9.37,0,9.46,5.85,0,10,8.27,9.75,8.23,0,10,10,5,9.63,0,15,0,0,0,0,0,12,0,0,0,0,0,13,0,0,0,0,3,3,3,2,3,3,2,0,1,2,3,3,3,2,4,0,3,2,3,2,3,5,2,4,3,3,6,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,93,94,20,20,169,98.65,98.65,98.65,98.65,100,100,100,100,90.61,90.61,90.61,90.61,88.89,88.89,88.89,88.89,93.5,93.5,93.5,93.5,100,100,100,100,84.5,84.5,84.5,84.5,91.64,91.64,91.64,91.64,A,A,A,A,,,
F23.86,10,9.34,9.54,10,10,10,6.89,5,9.43,10,10,9.37,0,0,0,5.8,4.99,9.36,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,3,3,2,2,0,0,0,0,0,1,3,2,0,0,0,0,3,0,0,0,0,3,6,0,2,2,0,2,0,2,0,2,0,2,0,2,0,0,0,52,0,0,0,95,56.52,56.52,56.52,56.52,53.85,53.85,53.85,53.85,58.96,58.96,58.96,58.96,40,40,40,40,26,26,26,26,0,0,0,0,47.5,47.5,47.5,47.5,41.18,41.18,41.18,41.18,F,F,F,F,,,
F23.87,10,10,10,9.6,9.14,10,9.6,10,9.25,10,10,8.75,10,9.73,9.17,10,10,9.36,9.75,9.41,10,10,10,4.98,10,0,0,9,0,0,0,0,0,11,0,0,0,0,0,13,0,0,0,EX,EX,2,2,2,2,1,2,2,2,3,3,3,2,4,2,3,2,3,1,3,5,1,4,3,2,6,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,83,93,20,20,144,94.81,94.81,94.81,94.81,100,100,100,100,98.12,98.12,98.12,98.12,73.33,73.33,73.33,73.33,88,88,88,88,100,100,100,100,72,72,72,72,87.47,87.47,87.47,87.47,B,B,B,B,,,
F23.88,10,9.33,10,5,7.81,8.6,0,9.52,8.86,7.78,10,9.37,5.41,1.3,9.72,9.47,5,1.72,9.75,0,9.2,0,0,0,0,0,0,13,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,2,1,3,2,0,2,2,1,3,3,0,0,3,2,2,1,2,1,3,4,1,3,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,86.5,66,20,0,123,63.77,63.77,63.77,63.77,100,100,100,100,67.2,67.2,67.2,67.2,46.67,46.67,46.67,46.67,76.25,76.25,76.25,76.25,50,50,50,50,61.5,61.5,61.5,61.5,66.59,66.59,66.59,66.59,D,D,D,D,,,
F23.89,10,9.67,9.54,10,10,10,9.58,10,9.43,10,10,10,10,10,10,9.47,8.33,10,10,9.41,9.8,10,10,10,10,0,0,0,0,14,0,0,0,0,0,15,0,0,0,0,0,15,0,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,4,3,3,6,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,94,95,20,20,183,100,100,100,100,100,100,100,100,99.12,99.12,99.12,99.12,97.78,97.78,97.78,97.78,94.5,94.5,94.5,94.5,100,100,100,100,91.5,91.5,91.5,91.5,96.52,96.52,96.52,96.52,A,A,A,A,,,
F23.90,10,10,10,9.3,9.57,9.64,10,10,9.25,10,9.73,10,9.77,10,9.72,10,9.17,9.68,9.5,8.82,9.6,10,9.37,2.97,9.63,0,0,15,0,0,0,0,0,14,0,0,0,0,0,13,0,0,0,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,1,2,2,3,5,2,4,2,3,6,11,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,94,70,20,20,164,100,100,100,100,100,100,100,100,97.62,97.62,97.62,97.62,93.33,93.33,93.33,93.33,82,82,82,82,100,100,100,100,82,82,82,82,90.3,90.3,90.3,90.3,A,A,A,A,,,
F23.91,10,10,10,10,10,10,8.76,10,9.63,10,10,10,0,9.73,10,6.86,10,10,10,10,10,10,10,8.98,10,0,0,0,14,0,0,15,0,0,0,0,0,0,0,0,0,0,15,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,0,3,2,3,5,2,4,3,0,6,11,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,96,93,20,20,191,100,100,100,100,100,100,100,100,99.25,99.25,99.25,99.25,97.78,97.78,97.78,97.78,94.5,94.5,94.5,94.5,100,100,100,100,95.5,95.5,95.5,95.5,97.15,97.15,97.15,97.15,A,A,A,A,,,
F23.92,10,10,10,10,10,10,9.59,10,9.44,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,14,0,0,0,0,15,0,0,0,0,0,0,13,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,3,2,4,3,3,6,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,89.5,95,20,20,143,100,100,100,100,100,100,100,100,100,100,100,100,93.33,93.33,93.33,93.33,92.25,92.25,92.25,92.25,100,100,100,100,71.5,71.5,71.5,71.5,92.4,92.4,92.4,92.4,A,A,A,A,,,
F23.93,9.16,4.17,9.08,4.85,2.18,1.8,0,0,0,0,0,0,3.35,0,0,0,0,4.52,8,0,0,0,0,0,0,0,0,9,0,0,0,0,0,14,0,0,0,0,0,15,0,0,0,3,2,3,2,2,2,1,2,1,0,2,2,0,2,0,2,2,0,3,0,0,4,1,0,3,3,0,0,2,2,2,2,2,2,0,2,2,0,2,2,2,2,0,72,47,20,20,109,61.76,61.76,61.76,61.76,92.31,92.31,92.31,92.31,21.41,21.41,21.41,21.41,84.44,84.44,84.44,84.44,59.5,59.5,59.5,59.5,100,100,100,100,54.5,54.5,54.5,54.5,56.75,56.75,56.75,56.75,F,F,F,F,,,
F23.94,9.16,9.67,10,5,9.57,9.64,9.58,10,9.82,8.52,10,8.74,8.85,6.84,10,9.47,8.34,3.42,10,9.41,10,10,10,3.66,10,0,8,0,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,4,3,3,5,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,79,93,20,20,141,100,100,100,100,100,100,100,100,94.37,94.37,94.37,94.37,75.56,75.56,75.56,75.56,86,86,86,86,100,100,100,100,70.5,70.5,70.5,70.5,86.3,86.3,86.3,86.3,B,B,B,B,,,
F23.95,10,8.99,10,10,9.57,10,10,10,9.43,8.89,10,9.37,8.28,8.31,10,10,10,9.68,10,10,10,9.71,10,8.98,10,0,0,0,15,0,0,0,0,0,0,15,0,0,0,0,0,0,0,3,3,3,2,3,3,2,2,2,2,3,3,3,1,4,2,3,2,3,2,3,5,2,4,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,85,85,20,20,145,94.2,94.2,94.2,94.2,92.31,92.31,92.31,92.31,98.06,98.06,98.06,98.06,66.67,66.67,66.67,66.67,85,85,85,85,100,100,100,100,72.5,72.5,72.5,72.5,85.22,85.22,85.22,85.22,B,B,B,B,,,
F23.96,0,10,10,9.7,10,10,9.37,6.89,9.06,10,10,10,0,0,10,6.86,5,0,9.25,9.41,10,5,3.74,3.99,10,0,0,0,14,0,0,0,0,0,15,0,0,0,0,0,14,0,0,EX,EX,0,2,2,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,4,3,1,6,10,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,89,95,20,20,178,98.65,98.65,98.65,98.65,100,100,100,100,81.03,81.03,81.03,81.03,95.56,95.56,95.56,95.56,92,92,92,92,100,100,100,100,89,89,89,89,90.47,90.47,90.47,90.47,A,A,A,A,,,
F23.97,9.17,8.33,7.7,0,8.27,9.28,9.16,0,0,7.78,0,7.49,0,1.82,8.63,4.76,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,EX,EX,2,2,3,3,2,2,2,1,3,0,3,0,3,0,3,2,3,0,2,0,0,0,0,0,0,0,EX,0,2,2,2,2,0,0,0,2,0,0,0,0,0,39.5,0,0,0,0,59.02,59.02,59.02,59.02,41.67,41.67,41.67,41.67,37.45,37.45,37.45,37.45,42.22,42.22,42.22,42.22,19.75,19.75,19.75,19.75,0,0,0,0,0,0,0,0,26.65,26.65,26.65,26.65,F,F,F,F,,,
F23.98,10,10,10,10,9.14,10,10,10,10,10,10,10,9.77,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,11,0,0,0,0,0,14.5,0,0,0,0,0,15,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,4,3,3,4,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,92,95,20,20,168,100,100,100,100,100,100,100,100,100,100,100,100,90,90,90,90,93.5,93.5,93.5,93.5,100,100,100,100,84,84,84,84,94.15,94.15,94.15,94.15,A,A,A,A,,,
F23.99,10,9.66,10,9.6,10,10,10,10,9.62,8.89,10,9.37,0,9.74,9.19,9.47,10,8.72,10,10,10,9.71,7.48,10,0,0,0,0,15,0,0,0,14,0,0,0,0,0,15,0,0,0,0,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,4,3,3,4,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,89,95,20,20,194,100,100,100,100,100,100,100,100,93.3,93.3,93.3,93.3,97.78,97.78,97.78,97.78,92,92,92,92,100,100,100,100,97,97,97,97,95.14,95.14,95.14,95.14,A,A,A,A,,,
F23.100,10,10,10,10,10,10,10,10,9.81,10,10,10,10,9.74,9.72,10,10,10,10,10,10,10,10,10,10,0,0,13,0,0,0,14,0,0,0,0,0,14,0,0,0,0,0,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,4,3,3,6,11,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,97,94,20,20,188,100,100,100,100,100,100,100,100,100,100,100,100,91.11,91.11,91.11,91.11,95.5,95.5,95.5,95.5,100,100,100,100,94,94,94,94,96.42,96.42,96.42,96.42,A,A,A,A,,,
F23.101,10,8.67,10,10,10,9.64,9.58,10,8.3,8.89,10,10,9.77,9.46,8.9,9.47,8.34,10,9.75,9.41,10,10,9.37,9.34,10,0,0,0,0,13,0,0,0,0,0,15,0,0,0,0,0,15,0,3,3,3,2,2,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,2,4,2,4,3,3,6,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,75,78,20,20,108,100,100,100,100,100,100,100,100,97.08,97.08,97.08,97.08,95.56,95.56,95.56,95.56,76.5,76.5,76.5,76.5,100,100,100,100,54,54,54,54,84.65,84.65,84.65,84.65,B,B,B,B,,,
F23.102,10,9,10,9.6,9.12,3.57,9.58,10,8.32,8.52,10,9.37,8.17,8.42,7.56,7.92,10,10,9.5,10,10,9.13,6.87,7,7.04,0,9,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,0,3,3,3,2,3,3,1,2,2,2,3,3,2,2,3,2,2,2,3,2,3,4,2,4,3,1,6,7,2,2,2,2,2,2,2,2,2,0,2,0,2,0,2,70.5,55,20,20,104,94.52,94.52,94.52,94.52,92.31,92.31,92.31,92.31,91.48,91.48,91.48,91.48,86.67,86.67,86.67,86.67,62.75,62.75,62.75,62.75,100,100,100,100,52,52,52,52,76.84,76.84,76.84,76.84,C,C,C,C,,,
F23.103,9.16,10,4.77,5.1,9.14,5.36,8.01,10,5,0.56,5,8.74,6.57,3.92,5.85,8.94,10,0,7.75,0,2.8,4.71,3.75,7.99,5.56,0,9,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,3,3,3,2,3,3,2,2,0,0,3,3,3,1,4,2,3,2,3,2,3,3,2,4,3,3,6,11,2,2,2,2,2,2,2,0,0,2,2,0,2,2,2,83,72,20,20,152,98.75,98.75,98.75,98.75,92.31,92.31,92.31,92.31,67.32,67.32,67.32,67.32,34.44,34.44,34.44,34.44,77.5,77.5,77.5,77.5,100,100,100,100,76,76,76,76,71.2,71.2,71.2,71.2,C,C,C,C,,,
F23.104,9.16,10,9.54,9.3,10,10,9.16,5.33,9.62,8.15,10,9.37,0,3.92,9.72,9.47,10,9.38,9.75,8.24,10,10,10,8.31,10,0,0,11,0,0,0,0,0,14,0,0,0,0,0,15,0,0,0,3,3,3,2,3,0,2,2,2,2,3,3,3,2,3,0,2,2,3,0,3,5,0,3,3,3,5,10,2,0,2,2,2,2,2,0,2,0,2,2,2,0,2,76,72,20,20,117,91.46,91.46,91.46,91.46,84.62,84.62,84.62,84.62,93.8,93.8,93.8,93.8,88.89,88.89,88.89,88.89,74,74,74,74,100,100,100,100,58.5,58.5,58.5,58.5,81.56,81.56,81.56,81.56,B,B,B,B,,,
