Student,Informational Survey - No Drop (409780),Syllabus and Canvas Hunt - No Drop (423082),HW 1: Vocab (435821),HW 2: Qualitative Data (414111),HW 3: Quantitative Displays (434821),HW 4: Quantitative Data part 1 (434822),HW 5: Quantitative Data part 2 (434825),"HW 6: Z-scores, Empirical Rule, Percentiles (434823)",HW 7R: Midterm 1 Review - NO DROP (434824),HW 8: Scatterplots and correlation (460555),"HW 9: Correlation, Regression (460556)",HW 10: Probability (460557),HW 11: RV & Normal Dist part 1 (460558),HW 12: Normal Distribution part 2 (460559),HW 13: Sampling Distributions of p-hat (460560),HW 14: 1 sample CI for p (part 1) (460563),HW 15: 1 sample CI for p (part 2) (460562),HW 16: Hypotheses and Errors (485107),HW 17: 1 sample HT for p (485108),HW 18: Sampling Distribution of x-bar (485058),HW 19: 1 sample CI for mu (485061),HW 20: 1 sample HT for mu (485062),HW 21: Review - NO DROP (573550),HW 22: Tests for Independence (573549),HW 23: Review - NO DROP (573622),Week 2 (408093),Week 3 (408094),Week 4 (408095),Week 5 (408096),Week 6 (408097),Week 7 (408098),Week 8 (408099),Week 9 (408100),Week 10 (408101),Week 12 (408102),Week 13 (408103),Week 14 (408104),Week 15 (408105),Week 16 - NO Drop (408106),Project 1 (408190),Project 2 (408191),Project 3 (408192),Midterm 1 (408091),Midterm 2 (408092),Maintenance - Midterm 1 (408087),Maintenance - Midterm 2  (408088),Final Exam (408066),Research Survey 1 (409969),Research Survey 2 (572727),Assignments Current Points,Assignments Final Points,Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Activity Attendance & Participation Current Points,Activity Attendance & Participation Final Points,Activity Attendance & Participation Current Score,Activity Attendance & Participation Unposted Current Score,Activity Attendance & Participation Final Score,Activity Attendance & Participation Unposted Final Score,Projects Current Points,Projects Final Points,Projects Current Score,Projects Unposted Current Score,Projects Final Score,Projects Unposted Final Score,Midterm Exams Current Points,Midterm Exams Final Points,Midterm Exams Current Score,Midterm Exams Unposted Current Score,Midterm Exams Final Score,Midterm Exams Unposted Final Score,Maintenance Current Points,Maintenance Final Points,Maintenance Current Score,Maintenance Unposted Current Score,Maintenance Final Score,Maintenance Unposted Final Score,Final Exam Current Points,Final Exam Final Points,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Research Surveys - Extra Credit Current Points,Research Surveys - Extra Credit Final Points,Research Surveys - Extra Credit Current Score,Research Surveys - Extra Credit Unposted Current Score,Research Surveys - Extra Credit Final Score,Research Surveys - Extra Credit Unposted Final Score,Current Points,Final Points,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Override Score,Override Status
S23.58,10,16,7.65,0,2.7,5.22,8.57,0,11.4,8.11,4.44,9.4,4.77,4.97,8.91,9.47,7.51,8.1,4.13,2.6,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,5,0,5,0,0,0,0,0,63,25,0,0,0,0,133.95,133.95,53.58,53.58,53.58,53.58,25,25,41.67,41.67,41.67,41.67,0,0,0,0,0,0,63,63,25.2,25.2,25.2,25.2,25,25,50,50,50,50,0,0,0,0,0,0,0,0,,,,,246.95,246.95,24.94,24.94,24.94,24.94,,
S23.59,10,20,8.34,10,9.6,9.56,10,9.39,20,9.62,8.89,10,9.78,10,10,4.74,8.32,10,0,9.13,10,8.32,19.6,4.06,17.04,5,5,5,5,5,5,5,5,5,4,5,5,5,5,60,57,60,105,60,25,25,62,10,10,247.59,247.59,95.23,95.23,95.23,95.23,60,60,100,100,100,100,177,177,98.33,98.33,98.33,98.33,165,165,66,66,66,66,50,50,100,100,100,100,62,62,31,31,31,31,20,20,,,,,781.59,781.59,78.16,78.16,78.16,78.16,,
S23.60,10,20,10,10,9.7,9.13,9.64,10,20,10,10,10,10,9.47,10,10,8.34,10,10,10,10,9.32,20,10,20,5,5,5,5,5,5,5,5,5,5,5,5,0,5,58,59,55,105,102,25,25,102,10,10,258.81,258.81,99.54,99.54,99.54,99.54,60,60,100,100,100,100,172,172,95.56,95.56,95.56,95.56,207,207,82.8,82.8,82.8,82.8,50,50,100,100,100,100,102,102,51,51,51,51,20,20,,,,,869.81,869.81,86.98,86.98,86.98,86.98,,
S23.61,10,20,8.68,7.28,2.7,5.68,9.28,10,20,9.43,8.89,9.2,1.61,3.69,5.88,0,2.49,7.48,5.3,1.16,1.87,3.3,16.4,2.43,11.12,5,0,5,0,5,5,5,5,5,0,5,5,5,5,40,28,45,115,92,25,25,77,10,10,181.11,181.11,69.66,69.66,69.66,69.66,55,55,91.67,91.67,91.67,91.67,113,113,62.78,62.78,62.78,62.78,207,207,82.8,82.8,82.8,82.8,50,50,100,100,100,100,77,77,38.5,38.5,38.5,38.5,20,20,,,,,703.11,703.11,70.31,70.31,70.31,70.31,,
S23.62,10,20,10,10,9,9.57,9.64,9.79,20,9.81,10,10,9.78,10,10,9.48,5,0,2.92,10,10,9.33,20,0,20,5,5,0,5,5,5,5,0,5,5,5,5,5,5,49,60,60,119,111,25,25,175,10,10,251.4,251.4,96.69,96.69,96.69,96.69,60,60,100,100,100,100,169,169,93.89,93.89,93.89,93.89,230,230,92,92,92,92,50,50,100,100,100,100,175,175,87.5,87.5,87.5,87.5,20,20,,,,,955.4,955.4,95.54,95.54,95.54,95.54,,
S23.63,10,20,9.66,9.54,10,9.14,9.28,10,20,9.81,8.52,9.6,9.09,5.75,9.72,9.47,9.17,4.69,9.41,9.71,10,8.3,19.2,2.97,19.26,5,5,5,5,5,5,5,5,0,5,5,0,5,5,60,58,60,121,116,25,25,149,10,10,248.88,248.88,95.72,95.72,95.72,95.72,60,60,100,100,100,100,178,178,98.89,98.89,98.89,98.89,237,237,94.8,94.8,94.8,94.8,50,50,100,100,100,100,149,149,74.5,74.5,74.5,74.5,20,20,,,,,942.88,942.88,94.29,94.29,94.29,94.29,,
S23.64,10,20,9.01,9.08,9.1,9.12,9.28,8.56,17.12,8.11,8.15,9.8,9.1,5.47,2.37,8.95,9.17,10,7.06,9.13,8.76,1.98,18.4,7.57,19.26,5,5,5,5,5,5,5,5,0,5,5,5,0,5,60,59,60,84,92,25,25,87,10,10,234.73,234.73,90.28,90.28,90.28,90.28,60,60,100,100,100,100,179,179,99.44,99.44,99.44,99.44,176,176,70.4,70.4,70.4,70.4,50,50,100,100,100,100,87,87,43.5,43.5,43.5,43.5,20,20,,,,,806.73,806.73,80.67,80.67,80.67,80.67,,
S23.65,10,20,10,10,9.6,10,7.86,10,19.08,9.05,8.52,5,4.94,0,9.18,0,0,10,0,0,10,0,20,0.27,18.15,5,5,5,5,5,5,5,5,5,5,5,0,5,5,56,58,60,118,118,25,25,163,10,10,201.65,201.65,77.56,77.56,77.56,77.56,60,60,100,100,100,100,174,174,96.67,96.67,96.67,96.67,236,236,94.4,94.4,94.4,94.4,50,50,100,100,100,100,163,163,81.5,81.5,81.5,81.5,20,20,,,,,904.65,904.65,90.47,90.47,90.47,90.47,,
S23.66,10,0,9.33,10,10,9.14,0,0,0,9.05,7.04,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,5,0,0,0,0,0,0,0,0,0,18,0,0,0,0,10,0,74.56,74.56,29.82,29.82,29.82,29.82,25,25,41.67,41.67,41.67,41.67,0,0,0,0,0,0,18,18,7.2,7.2,7.2,7.2,0,0,0,0,0,0,0,0,0,0,0,0,10,10,,,,,127.56,127.56,12.88,12.88,12.88,12.88,,
S23.67,10,20,10,10,10,9.13,10,9.37,20,9.05,10,10,10,10,9.72,9.47,9.17,10,10,10,10,8.32,18.8,9.73,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,60,60,59,108,102,25,25,90,10,10,256.26,256.26,98.56,98.56,98.56,98.56,60,60,100,100,100,100,179,179,99.44,99.44,99.44,99.44,210,210,84,84,84,84,50,50,100,100,100,100,90,90,45,45,45,45,20,20,,,,,865.26,865.26,86.53,86.53,86.53,86.53,,
S23.68,10,20,9.67,10,10,10,10,9.79,20,9.62,10,10,10,9.74,10,10,10,9.69,0,0,10,0.66,19.6,3.25,14.82,5,5,5,5,5,5,0,5,0,5,5,5,0,5,53,56,48,107,103,25,25,87,10,0,246.18,246.18,94.68,94.68,94.68,94.68,55,55,91.67,91.67,91.67,91.67,157,157,87.22,87.22,87.22,87.22,210,210,84,84,84,84,50,50,100,100,100,100,87,87,43.5,43.5,43.5,43.5,10,10,,,,,815.18,815.18,81.52,81.52,81.52,81.52,,
S23.69,10,0,10,10,0,6.48,8.93,10,20,0,0,0,0,0,9.72,0,0,0,0,0,0,7.99,0,0,5.92,5,5,5,5,5,5,5,5,5,5,5,5,5,5,60,60,49,119,119,25,25,143,0,10,99.04,99.04,38.09,38.09,38.09,38.09,60,60,100,100,100,100,169,169,93.89,93.89,93.89,93.89,238,238,95.2,95.2,95.2,95.2,50,50,100,100,100,100,143,143,71.5,71.5,71.5,71.5,10,10,,,,,769.04,769.04,76.9,76.9,76.9,76.9,,
S23.70,10,0,8.32,7.73,10,1.76,10,9.79,20,4.34,9.26,1.5,6.56,4.47,9.44,3.71,0,5,9.41,8.02,0,3.68,17.2,1.09,9.64,0,5,0,0,5,0,5,5,0,5,5,5,5,5,57,57,58,74,103,25,25,82,10,10,169.83,169.83,65.32,65.32,65.32,65.32,45,45,75,75,75,75,172,172,95.56,95.56,95.56,95.56,177,177,70.8,70.8,70.8,70.8,50,50,100,100,100,100,82,82,41,41,41,41,20,20,,,,,715.83,715.83,71.58,71.58,71.58,71.58,,
S23.71,10,20,10,10,10,9.56,9.29,10,20,9.06,8.15,10,5,10,10,6.05,8.32,9.38,0,10,10,9.67,20,10,19.26,5,5,5,5,5,5,5,5,0,5,5,5,5,5,60,55,60,110,115,25,25,168,10,10,252.69,252.69,97.19,97.19,97.19,97.19,60,60,100,100,100,100,175,175,97.22,97.22,97.22,97.22,225,225,90,90,90,90,50,50,100,100,100,100,168,168,84,84,84,84,20,20,,,,,950.69,950.69,95.07,95.07,95.07,95.07,,
S23.72,10,20,9.67,10,9.6,9.57,10,10,20,9.81,0,5,7.11,0,0,5,5,0,0,0,0,0,0,0,0,5,5,5,0,5,5,0,0,0,0,5,5,0,0,58,60,0,114,73,25,0,92,10,0,140.76,140.76,56.31,56.31,56.31,56.31,35,35,58.33,58.33,58.33,58.33,118,118,65.56,65.56,65.56,65.56,187,187,74.8,74.8,74.8,74.8,25,25,50,50,50,50,92,92,46,46,46,46,10,10,,,,,607.76,607.76,61.39,61.39,61.39,61.39,,
S23.73,10,20,9.67,9.54,9.6,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,20,9.73,19.26,5,5,5,5,5,5,5,5,5,5,5,5,5,5,60,60,60,124,106,25,25,169,10,10,249.4,249.4,99.76,99.76,99.76,99.76,60,60,100,100,100,100,180,180,100,100,100,100,230,230,92,92,92,92,50,50,100,100,100,100,169,169,84.5,84.5,84.5,84.5,20,20,,,,,958.4,958.4,96.81,96.81,96.81,96.81,,
S23.74,10,0,8.68,8.62,0,0,9.3,1.6,0,8.86,8.15,4.7,0,0,6.55,10,10,5.14,0,0,5,7.65,0,1.9,20,5,0,5,5,5,5,5,0,0,5,5,5,5,5,30,49,55,96,112,25,25,149,10,0,126.14,126.14,48.52,48.52,48.52,48.52,55,55,91.67,91.67,91.67,91.67,134,134,74.44,74.44,74.44,74.44,208,208,83.2,83.2,83.2,83.2,50,50,100,100,100,100,149,149,74.5,74.5,74.5,74.5,10,10,,,,,732.14,732.14,73.21,73.21,73.21,73.21,,
S23.75,10,12,8.33,10,5.5,10,6.06,0.21,0,0,0,0.2,0.66,0.52,0,0,0,6.84,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,10,0,70.32,70.32,28.13,28.13,28.13,28.13,15,15,25,25,25,25,0,0,0,0,0,0,34,34,13.6,13.6,13.6,13.6,0,0,0,0,0,0,0,0,0,0,0,0,10,10,,,,,129.32,129.32,13.06,13.06,13.06,13.06,,
S23.76,10,0,5.65,10,9.3,3.47,1.08,0,0.92,9.62,10,10,8.24,6.45,8.88,8.94,10,9.07,9.41,9.71,9.38,10,0,0,0,0,5,5,5,5,5,5,0,5,5,5,0,0,0,40,0,0,81,42,25,0,0,10,0,160.12,160.12,64.05,64.05,64.05,64.05,45,45,75,75,75,75,40,40,22.22,22.22,22.22,22.22,123,123,49.2,49.2,49.2,49.2,25,25,50,50,50,50,0,0,0,0,0,0,10,10,,,,,403.12,403.12,40.72,40.72,40.72,40.72,,
S23.77,10,20,9.67,0,9.6,10,9.64,10,19.04,7.35,10,10,8.62,9.47,3.06,5.81,2.5,7.21,8.23,10,10,8.31,0,8.91,11.12,5,5,5,5,5,5,0,0,0,0,5,0,0,0,54,57,59,124,106,25,25,162,10,10,204.92,204.92,81.97,81.97,81.97,81.97,35,35,58.33,58.33,58.33,58.33,170,170,94.44,94.44,94.44,94.44,230,230,92,92,92,92,50,50,100,100,100,100,162,162,81,81,81,81,20,20,,,,,871.92,871.92,88.07,88.07,88.07,88.07,,
S23.78,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,10,10,4,4,4,4,20,20,33.33,33.33,33.33,33.33,0,0,0,0,0,0,76,76,30.4,30.4,30.4,30.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,106,106,10.71,10.71,10.71,10.71,,
S23.79,10,20,8.33,8.63,9.6,8.26,9.28,9.6,20,9.62,10,10,8.42,9.73,10,10,10,10,8.82,10,10,9.67,20,9.73,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,57,59,59,90,74,25,25,117,10,10,254.68,254.68,97.95,97.95,97.95,97.95,60,60,100,100,100,100,175,175,97.22,97.22,97.22,97.22,164,164,65.6,65.6,65.6,65.6,50,50,100,100,100,100,117,117,58.5,58.5,58.5,58.5,20,20,,,,,840.68,840.68,84.07,84.07,84.07,84.07,,
S23.80,10,20,0,10,10,9.13,0,5.59,19.54,9.26,6.3,10,2.82,0,9.44,5.8,7.5,0,0,0,0,0,0,0,0,5,5,5,5,5,5,0,5,5,5,5,0,5,0,0,0,0,91,101,25,25,0,10,0,135.37,135.37,54.15,54.15,54.15,54.15,55,55,91.67,91.67,91.67,91.67,0,0,0,0,0,0,192,192,76.8,76.8,76.8,76.8,50,50,100,100,100,100,0,0,0,0,0,0,10,10,,,,,442.37,442.37,44.68,44.68,44.68,44.68,,
S23.81,10,20,10,10,9.6,10,10,10,20,10,10,10,10,10,9.72,10,10,10,10,10,10,10,20,10,20,5,5,5,5,5,5,5,5,0,5,5,5,0,5,60,59,60,123,118,25,25,138,10,10,260,260,100,100,100,100,60,60,100,100,100,100,179,179,99.44,99.44,99.44,99.44,241,241,96.4,96.4,96.4,96.4,50,50,100,100,100,100,138,138,69,69,69,69,20,20,,,,,948,948,94.8,94.8,94.8,94.8,,
S23.82,10,20,9.67,9.54,10,9.14,9.28,9.2,20,9.62,10,10,9.33,10,9.72,10,9.17,10,9.42,10,9.38,9,20,10,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,60,59,59,118,111,25,25,164,10,10,255.16,255.16,98.14,98.14,98.14,98.14,60,60,100,100,100,100,178,178,98.89,98.89,98.89,98.89,229,229,91.6,91.6,91.6,91.6,50,50,100,100,100,100,164,164,82,82,82,82,20,20,,,,,956.16,956.16,95.62,95.62,95.62,95.62,,
S23.83,10,20,9.01,10,9,9.57,10,9.58,20,9.24,10,10,9.77,10,10,9.47,8.34,10,9.41,9.71,8.74,10,20,10,19.26,5,5,5,5,5,5,5,5,5,5,5,5,5,5,57,58,55,97,105,25,25,143,10,10,255.02,255.02,98.08,98.08,98.08,98.08,60,60,100,100,100,100,170,170,94.44,94.44,94.44,94.44,202,202,80.8,80.8,80.8,80.8,50,50,100,100,100,100,143,143,71.5,71.5,71.5,71.5,20,20,,,,,900.02,900.02,90,90,90,90,,
S23.84,10,20,10,10,10,10,10,9.8,20,9.81,10,10,9.78,10,10,9.47,10,10,10,10,9.37,10,13,10,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,60,60,53,128,119,25,25,184,10,10,252.61,252.61,97.16,97.16,97.16,97.16,60,60,100,100,100,100,173,173,96.11,96.11,96.11,96.11,247,247,98.8,98.8,98.8,98.8,50,50,100,100,100,100,184,184,92,92,92,92,20,20,,,,,986.61,986.61,98.66,98.66,98.66,98.66,,
S23.85,10,20,9.34,8.17,9.7,0,9.28,9.4,20,8.68,0,0,3.64,0,0,0,0,0,8.82,0,10,0,0,3.11,11.86,5,5,5,0,5,0,5,5,0,0,5,0,5,0,60,56,60,113,121,25,25,132,10,10,142.01,142.01,54.62,54.62,54.62,54.62,40,40,66.67,66.67,66.67,66.67,176,176,97.78,97.78,97.78,97.78,234,234,93.6,93.6,93.6,93.6,50,50,100,100,100,100,132,132,66,66,66,66,20,20,,,,,794.01,794.01,79.4,79.4,79.4,79.4,,
S23.86,10,20,0,9.54,10,6.11,9.64,8.14,20,8.5,8.15,9.4,6,8.4,10,10,10,9.68,10,9.71,10,8.65,20,10,20,5,0,0,5,5,5,0,5,0,0,5,5,5,5,54,60,60,106,62,25,25,149,10,10,249.81,249.81,96.08,96.08,96.08,96.08,45,45,75,75,75,75,174,174,96.67,96.67,96.67,96.67,168,168,67.2,67.2,67.2,67.2,50,50,100,100,100,100,149,149,74.5,74.5,74.5,74.5,20,20,,,,,855.81,855.81,85.58,85.58,85.58,85.58,,
S23.87,10,20,4.65,9.54,0,9.57,9.64,8.57,20,9.63,8.52,9,3.16,2.38,6.68,4.76,8.32,0,7.67,9.71,7.5,7.98,18,6.22,14.82,5,5,5,0,5,5,0,0,0,5,5,0,0,0,60,60,49,106,105,25,25,106,10,10,213.94,213.94,82.28,82.28,82.28,82.28,35,35,58.33,58.33,58.33,58.33,169,169,93.89,93.89,93.89,93.89,211,211,84.4,84.4,84.4,84.4,50,50,100,100,100,100,106,106,53,53,53,53,20,20,,,,,804.94,804.94,80.49,80.49,80.49,80.49,,
S23.88,10,20,8.66,10,9.6,9.57,10,9.18,20,9.62,9.63,9.8,9.55,10,9.72,10,9.16,9.69,10,10,9.37,9.66,0,10,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,58,57,60,128,119,25,25,178,10,10,236.21,236.21,90.85,90.85,90.85,90.85,60,60,100,100,100,100,175,175,97.22,97.22,97.22,97.22,247,247,98.8,98.8,98.8,98.8,50,50,100,100,100,100,178,178,89,89,89,89,20,20,,,,,966.21,966.21,96.62,96.62,96.62,96.62,,
S23.89,10,20,9.66,10,9.3,9.14,10,10,20,10,0,9.8,7.7,0,10,0,4.16,0,0,2.17,0,2.49,7.4,3.52,15.56,5,5,5,5,5,0,5,5,0,0,5,0,0,0,57,16,59,122,95,25,25,95,10,0,180.9,180.9,69.58,69.58,69.58,69.58,40,40,66.67,66.67,66.67,66.67,132,132,73.33,73.33,73.33,73.33,217,217,86.8,86.8,86.8,86.8,50,50,100,100,100,100,95,95,47.5,47.5,47.5,47.5,10,10,,,,,724.9,724.9,72.49,72.49,72.49,72.49,,
S23.90,10,18,10,10,9.3,10,10,8.99,20,9.62,10,10,9.78,10,10,10,10,9.36,10,10,10,10,19.6,10,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,60,60,60,110,115,25,25,164,10,10,257,257,98.85,98.85,98.85,98.85,60,60,100,100,100,100,180,180,100,100,100,100,225,225,90,90,90,90,50,50,100,100,100,100,164,164,82,82,82,82,20,20,,,,,956,956,95.6,95.6,95.6,95.6,,
S23.91,10,20,9.33,9.54,9,9.14,10,8.53,19.04,4.53,10,0.6,1.33,0,4.87,3.7,0,10,9.41,5,10,9.34,0,4.73,20,5,5,5,5,5,5,5,0,0,0,5,5,5,5,52,51,55,84,74,25,0,131,10,10,197.48,197.48,75.95,75.95,75.95,75.95,55,55,91.67,91.67,91.67,91.67,158,158,87.78,87.78,87.78,87.78,158,158,63.2,63.2,63.2,63.2,25,25,50,50,50,50,131,131,65.5,65.5,65.5,65.5,20,20,,,,,744.48,744.48,74.45,74.45,74.45,74.45,,
S23.92,10,20,8.01,9.09,9.7,8.27,7.52,8.95,0,10,7.78,8.6,0,6.59,2.24,0,0,0,0,0,6.87,0,0,0,0,5,5,5,0,5,5,5,0,0,0,5,0,0,0,54,42,36,65,39,25,0,0,10,0,123.62,123.62,49.45,49.45,49.45,49.45,35,35,58.33,58.33,58.33,58.33,132,132,73.33,73.33,73.33,73.33,104,104,41.6,41.6,41.6,41.6,25,25,50,50,50,50,0,0,0,0,0,0,10,10,,,,,429.62,429.62,43.4,43.4,43.4,43.4,,
S23.93,10,20,10,10,9.6,9.57,10,9.39,20,9.81,10,10,10,9.73,10,9.48,10,10,9.41,9.42,10,10,19.6,9.73,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,60,60,60,105,122,25,25,105.5,10,10,257.52,257.52,99.05,99.05,99.05,99.05,60,60,100,100,100,100,180,180,100,100,100,100,227,227,90.8,90.8,90.8,90.8,50,50,100,100,100,100,105.5,105.5,52.75,52.75,52.75,52.75,20,20,,,,,900.02,900.02,90,90,90,90,,
S23.94,10,18,10,10,9.6,10,9.28,9.16,20,9.05,10,10,10,9.73,6.67,0,7.48,7.49,2.92,0,0,0,19.6,9.45,20,5,5,0,0,5,5,0,5,0,0,5,5,5,0,60,59,0,115,94,25,25,123,10,10,228.43,228.43,87.86,87.86,87.86,87.86,40,40,66.67,66.67,66.67,66.67,119,119,66.11,66.11,66.11,66.11,209,209,83.6,83.6,83.6,83.6,50,50,100,100,100,100,123,123,61.5,61.5,61.5,61.5,20,20,,,,,789.43,789.43,78.94,78.94,78.94,78.94,,
S23.95,10,0,0,9.55,0,8.71,1.44,10,20,9.24,6.67,5,0,0,0,0,5,4.04,8.83,10,5,10,19.2,6.76,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,60,59,60,119,111,25,25,152,10,10,169.44,169.44,65.17,65.17,65.17,65.17,60,60,100,100,100,100,179,179,99.44,99.44,99.44,99.44,230,230,92,92,92,92,50,50,100,100,100,100,152,152,76,76,76,76,20,20,,,,,860.44,860.44,86.04,86.04,86.04,86.04,,
S23.96,10,20,0,9.08,9.4,9.56,9.28,9.18,20,9.07,8.15,4.7,8.65,6.05,10,9.47,10,10,10,10,10,10,19.2,9.45,19.26,5,5,5,5,5,5,5,5,5,0,5,5,5,5,55,57,51,79,70,25,25,114,10,10,249.75,249.75,96.06,96.06,96.06,96.06,60,60,100,100,100,100,163,163,90.56,90.56,90.56,90.56,149,149,59.6,59.6,59.6,59.6,50,50,100,100,100,100,114,114,57,57,57,57,20,20,,,,,805.75,805.75,80.58,80.58,80.58,80.58,,
S23.97,10,20,9.67,9.54,10,9.57,10,10,20,9.43,10,10,9.31,10,10,10,10,10,10,10,10,8.99,19.2,9.73,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,57,58,60,122,106,25,25,132,10,10,257.71,257.71,99.12,99.12,99.12,99.12,60,60,100,100,100,100,175,175,97.22,97.22,97.22,97.22,228,228,91.2,91.2,91.2,91.2,50,50,100,100,100,100,132,132,66,66,66,66,20,20,,,,,922.71,922.71,92.27,92.27,92.27,92.27,,
S23.98,10,20,10,10,10,10,10,10,20,9.81,10,10,10,10,10,10,10,10,9.41,10,10,10,20,10,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,57,60,60,120,117,25,25,160,10,10,260,260,100,100,100,100,60,60,100,100,100,100,177,177,98.33,98.33,98.33,98.33,237,237,94.8,94.8,94.8,94.8,50,50,100,100,100,100,160,160,80,80,80,80,20,20,,,,,964,964,96.4,96.4,96.4,96.4,,
S23.99,10,20,7.99,7.28,8.8,9.14,9.28,2.48,18.08,8.3,8.89,4.3,1.76,0,1.12,0,0,0,5.29,4.72,9.37,4.33,14.8,4.19,8.9,5,5,5,5,5,5,5,5,5,5,0,0,0,0,52,57,57,79,0,25,0,62,10,10,169.01,169.01,65,65,65,65,50,50,83.33,83.33,83.33,83.33,166,166,92.22,92.22,92.22,92.22,79,79,31.6,31.6,31.6,31.6,25,25,50,50,50,50,62,62,31,31,31,31,20,20,,,,,571.01,571.01,57.1,57.1,57.1,57.1,,
S23.100,10,20,10,8.62,9.4,9.57,10,10,20,9.81,8.15,10,9.08,0,9.72,6.86,9.17,10,8.82,9.42,7.5,7.65,20,10,20,5,5,0,5,5,5,5,5,0,0,5,0,0,0,55,60,37,121,123,25,25,169,10,10,249.41,249.41,95.93,95.93,95.93,95.93,40,40,66.67,66.67,66.67,66.67,152,152,84.44,84.44,84.44,84.44,244,244,97.6,97.6,97.6,97.6,50,50,100,100,100,100,169,169,84.5,84.5,84.5,84.5,20,20,,,,,924.41,924.41,92.44,92.44,92.44,92.44,,
S23.101,10,20,9,9.54,0,4.76,8.59,8.97,10.08,9.06,6.3,9.8,7.48,8.12,8.92,5.82,9.17,8.43,8.82,10,6.86,5.96,18.4,10,15.56,5,0,5,5,5,5,0,5,0,5,5,5,0,5,58,59,52,113,108,25,25,163,10,10,219.06,219.06,84.25,84.25,84.25,84.25,50,50,83.33,83.33,83.33,83.33,169,169,93.89,93.89,93.89,93.89,221,221,88.4,88.4,88.4,88.4,50,50,100,100,100,100,163,163,81.5,81.5,81.5,81.5,20,20,,,,,892.06,892.06,89.21,89.21,89.21,89.21,,
S23.102,10,20,10,9.54,10,9.56,10,10,20,9.62,10,10,10,10,10,10,8.34,10,9.41,10,10,9.66,20,9.73,20,5,5,5,5,5,5,5,5,4,0,5,5,5,5,55,59,59,106,112,25,25,149,10,10,258.57,258.57,99.45,99.45,99.45,99.45,60,60,100,100,100,100,173,173,96.11,96.11,96.11,96.11,218,218,87.2,87.2,87.2,87.2,50,50,100,100,100,100,149,149,74.5,74.5,74.5,74.5,20,20,,,,,928.57,928.57,92.86,92.86,92.86,92.86,,
S23.103,10,20,9.34,10,10,9.57,9.64,9.79,20,9.44,10,10,8.85,8.93,10,9.47,10,2.19,0,4.86,10,10,20,10,20,5,5,5,5,5,5,5,0,5,5,5,0,5,5,54,56,49,121,121,25,25,165,10,10,255.03,255.03,98.09,98.09,98.09,98.09,60,60,100,100,100,100,159,159,88.33,88.33,88.33,88.33,242,242,96.8,96.8,96.8,96.8,50,50,100,100,100,100,165,165,82.5,82.5,82.5,82.5,20,20,,,,,951.03,951.03,95.1,95.1,95.1,95.1,,
S23.104,10,16,8,6.36,8.2,6.09,9.28,7.06,20,8.86,7.78,9,3.18,7.38,10,10,3.33,9.36,8.82,9.72,7.5,5.98,17.6,2.44,17.78,5,5,5,5,5,5,5,5,5,5,5,5,5,5,48,50,58,81,60,25,25,75,10,10,220.77,220.77,84.91,84.91,84.91,84.91,60,60,100,100,100,100,156,156,86.67,86.67,86.67,86.67,141,141,56.4,56.4,56.4,56.4,50,50,100,100,100,100,75,75,37.5,37.5,37.5,37.5,20,20,,,,,722.77,722.77,72.28,72.28,72.28,72.28,,
S23.105,10,20,9.34,10,9.7,9.57,9.64,10,20,9.81,10,10,10,10,10,10,10,10,9.41,10,10,10,20,10,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,52,59,60,117,122,25,25,180,10,10,259.15,259.15,99.67,99.67,99.67,99.67,60,60,100,100,100,100,171,171,95,95,95,95,239,239,95.6,95.6,95.6,95.6,50,50,100,100,100,100,180,180,90,90,90,90,20,20,,,,,979.15,979.15,97.92,97.92,97.92,97.92,,
