Student,Lec 1,Lec 2,Lec 3,Lec 4,Lec 5,Lec 6,Lec 7,Lec 8,Lec 9,Lec 10,Lec 11,Lec 12,Lec 13,Lec 14,Lec 15,Lec 16,Lec 17,Lec 18,Lec 19,Lec 20,Lec 21,Lec 22,Lec 23,Lec 24,Lec 25,Lec 26,Lec 27,Lec 28,Activity 1,Activity 2,Activity 3,Activity 4,Activity 5,Activity 6,Activity 7,Activity 8,Activity 9,Activity 10,Activity 11,Activity 12,Activity 13,Activity 14,Activity 15,Activity 16
F23.69,0,0.666666667,1,1,1,0.666666667,1,1,1,0,0.666666667,0,0,0.5,0.75,1,0.666666667,0,0.666666667,1,1,0,1,0,1,0.666666667,1,0.727272727,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1
F23.70,1,1,1,1,1,1,0.5,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1
F23.71,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1
F23.72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1
F23.73,1,1,1,1,1,0.333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,1,1
F23.74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,1,1
F23.75,1,1,0.666666667,1,0.666666667,1,0.5,0.5,0.5,1,0,1,0,0.5,1,1,0,0,1,1,0,0,0,0,0,0.666666667,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,,0,1
F23.76,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1
F23.77,0,0,0,1,1,1,0.5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,,1,1,1,1,1,1,1,1,1,0,1,1,,1,0
F23.78,1,1,1,1,1,0.666666667,0.5,1,1,1,1,1,1,0,0.75,1,1,1,1,1,1,1,1,0,0.666666667,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1
F23.79,1,1,1,0,1,1,0.5,0.5,0.5,0,1,1,1,1,1,0,0,1,0.666666667,0,0.666666667,0.4,1,1,0.666666667,0,0.666666667,0.727272727,1,1,1,1,1,1,1,1,1,1,1,0,1,,1,1
F23.80,0,0,0.666666667,1,1,1,0.5,1,0.5,1,1,0.666666667,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.818181818,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0
F23.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1
F23.82,1,1,1,1,1,1,1,1,1,1,1,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0
F23.83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666667,0.833333333,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,1,1
F23.84,1,1,0,0.5,1,0.666666667,1,1,1,1,1,1,1,1,0.75,1,0.666666667,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,,0,1
F23.85,1,1,1,1,1,1,1,0,0.5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,,0,1
F23.86,1,1,1,1,1,1,1,1,0,0,0,0,0,0.5,0.75,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,,0,0
F23.87,0,0,0.666666667,1,0.666666667,0.666666667,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0.5,1,1,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1
F23.88,0,1,0.666666667,0.5,1,0.666666667,0,1,1,0.5,1,1,0,0,0.75,1,0.666666667,0.5,0.666666667,0.5,1,0.8,0.5,0.75,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1
F23.89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1
F23.90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.666666667,1,1,1,1,1,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,1,1
F23.91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,1,1
F23.92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1
F23.93,1,0.666666667,1,1,0.666666667,0.666666667,0.5,1,0.5,0,0.666666667,0.666666667,0,1,0,1,0.666666667,0,1,0,0,0.8,0.5,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,,1,0
F23.94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.833333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1
F23.95,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,0,0
F23.96,0,0,0,1,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.333333333,1,0.909090909,1,1,1,1,1,1,1,1,0,1,1,1,1,,0,1
F23.97,0,0,0.666666667,1,1,1,1,1,1,0.5,1,0,1,0,0.75,0,1,1,1,0,0.666666667,0,0,0,0,0,0,0,,0,1,1,1,1,0,0,0,1,0,0,0,,0,0
F23.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1
F23.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1
F23.100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,1,1
F23.101,1,1,1,1,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666667,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1
F23.102,1,1,1,1,1,1,0.5,1,1,1,1,1,0.666666667,1,0.75,1,0.666666667,1,1,1,1,0.8,1,1,1,0.333333333,1,0.636363636,1,1,1,1,1,1,1,1,1,0,1,0,1,,0,1
F23.103,1,1,1,1,1,1,1,1,0,0,1,1,1,0.5,1,1,1,1,1,1,1,0.6,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,,1,1
F23.104,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.75,0,0.666666667,1,1,0,1,1,0,0.75,1,1,0.833333333,0.909090909,1,0,1,1,1,1,1,0,1,0,1,1,1,,0,1
F23.105,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1
F23.106,1,1,1,1,1,1,1,1,1,0.5,1,0.666666667,1,1,0.5,1,0.666666667,1,1,0.5,1,0.4,1,0.25,1,1,0.666666667,0.727272727,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1
F23.107,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1
F23.108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.833333333,0.909090909,1,1,1,1,1,1,1,1,1,0,1,1,1,,1,1
