Lecture 24,Lecture 25,Lecture 26,Lecture 27,Lecture 28,Activity Week 6,Activity Week 13,Student,Lecture 1,Lecture 2,Lecture 3,Lecture 4,Lecture 5,Lecture 6,Lecture 7,Lecture 8,Lecture 9,Lecture 10,Lecture 11,Lecture 12,Lecture 13,Lecture 14,Lecture 15,Lecture 16,Lecture 17,Lecture 18,Lecture 19,Lecture 20,Lecture 21,Lecture 22,Lecture 23,Activity Week 1,Activity Week 2,Activity Week 3,Activity Week 4,Activity Week 5,Activity Week 7,Activity Week 8,Activity Week 9,Activity Week 10,Activity Week 11,Activity Week 12,Activity Week 15,Activity Week 16
,,,,,,,51,2,1,1,2,1,2,0,0,0,0,0,0,1,2,1,0,2,2,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,52,2,2,1,2,0,2,2,2,1,1,2,2,1,1,1,1,1,2,2,2,1,0,2,2,2,2,2,2,2,2,2,0,2,2,2,2
,,,,,,,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,2,0,2,2,0,2,2,2
,,,,,,,54,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,55,2,2,0,2,1,2,2,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,56,2,2,1,1,1,2,2,2,1,1,2,2,1,2,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,57,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,58,2,2,1,2,1,0,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,59,2,2,1,2,1,2,1,0,0,1,2,2,2,1,1,1,2,2,2,0,0,2,2,0,2,2,2,2,2,2,2,0,2,0,2,2
,,,,,,,60,2,2,0,0,1,2,2,2,1,1,0,2,0,1,0,0,0,2,0,0,0,0,0,0,2,2,2,2,2,0,2,2,0,0,0,0
,,,,,,,61,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,62,2,2,1,2,1,1,2,2,1,1,2,2,1,2,1,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,63,2,2,1,2,1,2,2,2,1,1,0,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
,,,,,,,64,2,2,0,1,1,2,2,2,1,0,2,2,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,0,2,2,2,2,2
,,,,,,,65,2,2,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2
,,,,,,,66,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,67,1,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,0,2,2
,,,,,,,68,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,69,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2
,,,,,,,70,2,1,1,2,1,2,2,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,72,2,2,1,2,1,2,2,0,0,1,0,2,2,2,0,1,0,0,1,0,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2,2
,,,,,,,73,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,74,0,0,0,0,1,0,1,1,1,0,2,2,0,2,1,0,2,2,0,2,2,0,2,0,0,0,0,0,2,2,2,2,0,2,2,2
,,,,,,,75,1,2,1,1,0,2,1,2,1,0,2,1,1,2,0,0,1,0,0,0,0,0,0,2,2,0,2,2,0,0,2,2,0,0,0,0
,,,,,,,76,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,77,0,0,1,2,1,0,1,2,1,1,2,2,2,2,1,1,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2
,,,,,,,78,1,1,1,2,1,2,1,2,1,1,2,2,2,2,1,1,0,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,0,2,0
,,,,,,,79,2,2,1,2,0,2,2,2,1,0,2,2,2,2,0,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1
,,,,,,,80,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,81,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,82,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
,,,,,,,83,2,2,1,2,1,2,2,2,1,1,2,2,2,2,0,1,0,0,2,2,2,2,2,2,2,0,2,2,0,0,2,2,2,2,2,2
,,,,,,,84,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,85,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,1,2,2,1,2,2,0,2,2,2,2,2,2,0,2,0,2,2,0,2
,,,,,,,86,2,2,1,2,1,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,87,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,1,2,1,2,2,0,2,2,2,2,2,2,2,2,2,2
,,,,,,,88,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,89,2,2,1,0,0,2,0,1,0,1,2,2,1,1,1,1,1,1,1,2,1,2,1,2,2,2,2,2,2,0,2,0,0,2,0,0
,,,,,,,90,2,2,1,1,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
,,,,,,,91,2,2,1,2,0,1,2,2,1,1,2,2,2,2,0,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,92,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,0,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0
,,,,,,,93,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,94,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2
,,,,,,,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
