Table Names,Student,HW 1: Vocab ,HW 2: Qualitative Data ,HW 3: Quantitative Displays ,HW 6: Relative Position,HW 7R: Midterm 1 Review,HW 12: RV & Normal Dist part 1,HW 20R: Final Exam Review 1,HW 24R: Final Exam Review 2,HW 4: Quantitative Data part 1,HW 5: Quantitative Data part 2,HW 8: Scatterplots and correlation,"HW 9: Correlation, Regression",HW 10: Probability Part 1,HW 11: Probability Part 2,HW 13: Normal Distribution part 2,HW 14: Sampling Distributions of p-hat,HW 15: 1 sample CI for p (part 1),HW 16: 1 sample CI for p (part 2),HW 17: Intro to Hypothesis Testing,HW 18R: Midterm 2 Review,HW 19: 1 sample HT for p,HW 21: Sampling Distribution of x-bar,HW 22: 1 sample CI for mu,HW 23: 1 sample HT for mu
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.48,9.33,9.54,9.3,9.79,9.76,9.77,8.4,10,8.68,10,9.43,10,10,10,9.73,10,10,10,9.37,10,10,10,8.11,9.33
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.49,9.33,9.54,0,9.37,0,0,0,0,0,0,9.62,7.78,0,7.5,0,0,0,0,0,0,0,0,0,0
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.50,8.99,7.27,9,8.13,8.56,8.2,9.6,0,9.14,9.65,9.82,8.52,10,8.74,8.95,9.72,7.38,8.34,10,0,8.23,9.71,4.06,8.65
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.51,10,7.27,9.3,0.41,0.23,6.79,9.8,7.04,6.56,7.17,9.44,8.15,10,5.61,8.68,1.68,3.17,0,0,8.25,5,5.87,10,8.32
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.52,10,9.09,9.6,9.8,10,10,10,8.15,9.56,8.93,9.81,10,5,10,2.34,5,10,10,5,7.88,10,10,10,10
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.53,9.01,9.54,10,9.2,10,10,10,10,9.57,10,10,10,10,10,10,9.72,10,10,10,10,10,10,10,10
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.54,9.34,5,10,10,3.56,0,10,7.78,10,10,8.29,8.15,10,9.37,9.48,7.24,5.81,7.51,8.41,10,7.64,9.42,7.48,9
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.55,8.99,10,5,10,10,10,10,10,9.57,10,9.24,10,10,10,9.08,9.72,9.47,10,0.31,10,10,9.72,10,10
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.56,10,9.08,9.6,10,10,9.31,9,10,9.57,10,10,10,10,10,8.93,10,10,10,9.38,10,10,10,10,10
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.57,9.34,9.54,8.7,9.59,10,0,0,0,9.14,8.92,4.37,8.15,0,10,0,0,6.33,7.49,8.74,0,0,0,0,0
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.58,9,9.54,10,9.58,10,9.78,10,8.52,10,10,8.88,8.52,10,10,9.73,10,9.47,9.17,10,10,10,10,10,9.32
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.59,9.34,10,9.6,8.99,10,9.77,10,10,10,10,10,10,10,10,10,9.72,8.94,10,9.38,10,8.82,10,8.74,10
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.60,10,8.18,8.5,0,8.8,0,9.8,8.15,9.57,10,10,0,10,8.75,0,0,4.47,10,0,7.75,0,10,3.1,0
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.61,9.33,10,9.6,10,10,8.85,10,7.41,9.57,9.64,8.86,10,10,9.37,9.21,10,10,10,9.36,9.75,10,9.71,6.85,10
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.62,9.67,0,10,9.2,10,9.56,0,10,9.13,10,8.12,10,10,9.37,9.73,8.63,5.28,8.34,9.36,10,0,9.42,9.37,0
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.63,10,10,10,10,10,9.08,0,10,8.71,10,8.86,7.04,0,0,8.94,0,10,10,4.37,9.5,0,0,0,0.99
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.64,9.67,9.08,10,4.89,10,9.33,10,10,8.7,9.64,8.67,10,10,10,10,9.16,9.47,9.16,10,10,8.25,9.71,10,10
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.65,8,0,2.4,0,0,8.2,9.6,9.63,9.57,0,0,0,0,9.37,10,10,9.47,2.49,10,9.75,10,9.71,8.74,0
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.66,9.67,9.55,10,9.59,0,4.53,8.6,7.78,8.7,10,7.72,4.82,10,4.37,4.99,10,9.47,6.67,9.36,7.75,7.06,9.42,6.25,6.66
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.67,8.66,9.54,4.55,7.7,5,9.54,9.4,9.63,9.14,9.64,7.17,10,10,8.74,4.47,10,4.76,9.17,0.79,9,7.65,10,8.75,7.67
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.68,10,10,5,9.79,10,10,10,10,10,10,9.43,10,10,9.37,9.73,10,10,5,9.36,10,10,10,8.11,4.83
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.69,0,9.54,9.3,0,8.56,0,10,7.59,9.56,10,9.44,10,10,9.37,1.3,0,1.85,8.34,1.25,0.25,9.41,9.71,10,9.33
