Student,Midterm 1 (percent),Midterm 2 (percent),Final Exam (percent),Midterm 1 - extra 2 points (Fall 24),Midterm 2 - extra 5 points (Fall 24),Maintenance Midterm 1 (percent),Maintenance Midterm 2 (percent)
F23.43,0.925,0.98,0.94,,,1,1
F23.44,0.915,0.62,0.625,,,1,1
F23.45,0.955,0.97,0.97,,,1,1
F23.46,0.91,0.92,0.895,,,1,1
F23.47,0.72,0.7,0.5735,,,1,1
F23.48,0.74,0.83,0.785,,,1,1
F23.49,0.84,0,0,,,1,0
F23.50,0.42,0.23,0.36,,,0,1
F23.51,0.715,0,0.615,,,1,0
F23.52,0.92,0.81,0.885,,,1,1
F23.53,0.675,0.82,0.635,,,1,1
F23.54,0.7,0.71,0.745,,,1,1
F23.55,0.69,0.8,0.65,,,1,1
F23.56,0.92,0.89,0.89,,,1,1
F23.57,0.71,0.16,0,,,1,0
F23.58,0.84,0.89,0.83,,,1,1
F23.59,0.96,0.92,0.755,,,1,1
F23.60,0.68,0.43,0.46,,,1,1
F23.61,0.94,0.96,0.905,,,1,1
F23.62,0.95,0.85,0.845,,,1,1
F23.63,0.84,0.87,0.86,,,1,1
F23.64,0.8,0.83,0.86,,,1,1
F23.65,0.74,0.77,0.605,,,1,1
F23.66,0.765,0.8,0.52,,,1,1
F23.67,0.66,0.58,0.475,,,1,1
F23.68,0.95,0.92,0.92,,,1,1
F23.69,0.93,0.81,0.8,,,1,1
F23.70,0.95,0.99,0.86,,,1,1
F23.71,0.94,0.98,0.94,,,1,1
F23.72,0.78,0.8,0.73,,,1,1
F23.73,0.935,0.96,0.885,,,1,1
F23.74,0.84,0.55,0.49,,,1,1
F23.75,0.59,0.46,0.7,,,1,1
F23.76,0.795,0.75,0.375,,,1,1
F23.77,0.64,0.44,0.5495,,,1,1
F23.78,0.74,0.58,0.485,,,1,1
F23.79,0.58,0.34,0.485,,,1,1
F23.80,0.845,0.87,0.755,,,1,1
F23.81,0.93,0.87,0.81,,,1,1
F23.82,0.91,0.98,0.87,,,1,1
F23.83,0.86,0.75,0.895,,,1,1
F23.84,0.8,0.62,0.73,,,1,0
F23.85,0.93,0.94,0.845,,,1,1
F23.86,0.52,0,0.475,,,0,0
F23.87,0.83,0.93,0.72,,,1,1
F23.88,0.865,0.66,0.615,,,1,0
F23.89,0.94,0.95,0.915,,,1,1
F23.90,0.94,0.7,0.82,,,1,1
F23.91,0.96,0.93,0.955,,,1,1
F23.92,0.895,0.95,0.715,,,1,1
F23.93,0.72,0.47,0.545,,,1,1
F23.94,0.79,0.93,0.705,,,1,1
F23.95,0.85,0.85,0.725,,,1,1
F23.96,0.89,0.95,0.89,,,1,1
F23.97,0.395,0,0,,,0,0
F23.98,0.92,0.95,0.84,,,1,1
F23.99,0.89,0.95,0.97,,,1,1
F23.100,0.97,0.94,0.94,,,1,1
F23.101,0.75,0.78,0.54,,,1,1
F23.102,0.705,0.55,0.52,,,1,1
F23.103,0.83,0.72,0.76,,,1,1
F23.104,0.76,0.72,0.585,,,1,1
F23.105,0.875,0.85,0.815,,,1,1
F23.106,0.81,0.77,0.86,,,1,1
F23.107,0.91,0.89,0.915,,,1,1
F23.108,0.87,0.89,0.875,,,1,1
F23.109,0.4,0,0,,,0,0
F23.110,0.8,0.72,0.64,,,1,1
F23.111,0.915,0.84,0.93,,,1,1
F23.112,0.85,0.78,0.82,,,1,1
F23.113,0.87,0.75,0.68,,,1,1
F23.114,0.8,0.59,0.5475,,,1,1
F23.115,0.99,0.99,0.935,,,1,1
