Student,Midterm 1 (percent),Midterm 2 (percent),Final Exam (percent),Maintenance Midterm 1 (percent),Maintenance Midterm 2 (percent),Midterm 1 - extra 2 points (Fall 24),Midterm 2 - extra 5 points (Fall 24)
69,89,0.96,0.9,1,25,2,0
70,100,0.95,0.89,1,25,2,0
71,0,0,0,0,0,2,0
72,47,0.29,0,1,25,2,0
73,71.25,0.81,0.825,1,25,2,5
74,51,0.57,0.59,1,25,2,5
75,49,0,0,0,0,2,0
76,99,0.93,0.895,1,25,2,5
77,73,0.69,0.6,1,25,2,5
78,36,0.26,0.305,1,25,2,5
79,78.5,0.87,0.8375,1,25,2,0
80,83.5,0.72,0.7025,1,25,2,5
81,72,0.93,0.78,1,25,2,5
82,94,0.64,0.6475,1,25,2,5
83,93,0.87,0.8475,1,25,2,5
84,100,0.98,0.8975,1,25,2,0
85,65.25,0.57,0.6325,1,25,2,5
86,97,0.82,0.835,1,25,2,5
87,86,0.98,0.8125,1,25,2,5
88,89,0.91,0.845,1,25,2,0
89,59,0.37,0.435,0,25,2,0
90,91,0.96,0.8075,1,25,2,5
91,87,0.92,0.795,1,25,2,5
92,89,0.75,0.565,1,25,2,0
93,76,0.71,0.675,1,25,2,5
94,90,0.93,0.83,1,25,2,0
95,0,0,0,0,0,2,0
96,66.5,0.9,0.62,0,25,2,5
97,30.5,0.52,0.4175,1,25,2,5
98,86,0.9,0.78,1,25,2,0
F23.01,83,0.89,0.76,1,20,,
F23.02,82,0.89,0.915,1,20,,
F23.03,91.5,0.81,0.91,1,20,,
F23.04,75,0.22,0.375,1,20,,
F23.05,75,0.7,0.5895,1,20,,
F23.06,52,0.63,0.65,1,20,,
F23.07,95.5,0.83,0.92,1,20,,
F23.08,93,0.91,0.905,1,20,,
F23.09,66,0.75,0.71,1,20,,
F23.10,64,0.64,0.575,1,20,,
F23.11,88,0.78,0.775,1,20,,
F23.12,98,0.97,0.935,1,20,,
F23.13,49,0.1,0,1,0,,
F23.14,80,0.92,0.815,1,20,,
F23.15,97,0.9,0.865,1,20,,
F23.16,39.5,0.54,0.515,1,20,,
F23.17,94,0.75,0.62,1,20,,
F23.18,94.5,0.91,0.79,1,20,,
F23.19,90,0.73,0.455,1,20,,
F23.20,97,0.92,0.83,1,20,,
F23.21,40.5,0.12,0,0,0,,
F23.22,49,0,0,0,0,,
F23.23,85,0.68,0.61,1,20,,
F23.24,76,0.76,0.635,1,20,,
F23.25,93,0.95,0.795,1,20,,
F23.26,56.5,0.81,0.505,0,20,,
F23.27,67,0.32,0.3285,1,20,,
F23.28,58,0,0,0,0,,
F23.29,98,0.93,0.875,1,20,,
F23.30,82,0.55,0.38,1,0,,
F23.31,89,0.94,0.93,1,20,,
F23.32,61,0.57,0.47,1,20,,
F23.33,99,0.95,0.97,1,20,,
F23.34,56,0,0,0.5,0,,
F23.35,100,0.98,0.95,1,20,,
F23.36,74,0.59,0.64,1,20,,
F23.37,86,0.72,0.77,1,20,,
F23.38,92,0.69,0.59,1,0,,
F23.39,67.5,0.42,0.375,1,20,,
F23.40,81.5,0.75,0.52,1,20,,
F23.41,59,0.53,0.625,1,20,,
F23.42,77,0.9,0.9,1,20,,
F23.43,92.5,0.98,0.94,1,20,,
F23.44,91.5,0.62,0.625,1,20,,
F23.45,95.5,0.97,0.97,1,20,,
F23.46,91,0.92,0.895,1,20,,
F23.47,72,0.7,0.5735,1,20,,
F23.48,74,0.83,0.785,1,20,,
F23.49,84,0,0,1,0,,
F23.50,42,0.23,0.36,0,20,,
F23.51,71.5,0,0.615,1,0,,
F23.52,92,0.81,0.885,1,20,,
F23.53,67.5,0.82,0.635,1,20,,
F23.54,70,0.71,0.745,1,20,,
F23.55,69,0.8,0.65,1,20,,
F23.56,92,0.89,0.89,1,20,,
F23.57,71,0.16,0,1,0,,
F23.58,84,0.89,0.83,1,20,,
F23.59,96,0.92,0.755,1,20,,
F23.60,68,0.43,0.46,1,20,,
F23.61,94,0.96,0.905,1,20,,
F23.62,95,0.85,0.845,1,20,,
F23.63,84,0.87,0.86,1,20,,
F23.64,80,0.83,0.86,1,20,,
F23.65,74,0.77,0.605,1,20,,
F23.66,76.5,0.8,0.52,1,20,,
F23.67,66,0.58,0.475,1,20,,
F23.68,95,0.92,0.92,1,20,,
F23.69,93,0.81,0.8,1,20,,
F23.70,95,0.99,0.86,1,20,,
F23.71,94,0.98,0.94,1,20,,
F23.72,78,0.8,0.73,1,20,,
F23.73,93.5,0.96,0.885,1,20,,
F23.74,84,0.55,0.49,1,20,,
F23.75,59,0.46,0.7,1,20,,
F23.76,79.5,0.75,0.375,1,20,,
F23.77,64,0.44,0.5495,1,20,,
F23.78,74,0.58,0.485,1,20,,
F23.79,58,0.34,0.485,1,20,,
F23.80,84.5,0.87,0.755,1,20,,
F23.81,93,0.87,0.81,1,20,,
F23.82,91,0.98,0.87,1,20,,
F23.83,86,0.75,0.895,1,20,,
F23.84,80,0.62,0.73,1,0,,
F23.85,93,0.94,0.845,1,20,,
F23.86,52,0,0.475,0,0,,
F23.87,83,0.93,0.72,1,20,,
F23.88,86.5,0.66,0.615,1,0,,
F23.89,94,0.95,0.915,1,20,,
F23.90,94,0.7,0.82,1,20,,
F23.91,96,0.93,0.955,1,20,,
F23.92,89.5,0.95,0.715,1,20,,
F23.93,72,0.47,0.545,1,20,,
F23.94,79,0.93,0.705,1,20,,
F23.95,85,0.85,0.725,1,20,,
F23.96,89,0.95,0.89,1,20,,
F23.97,39.5,0,0,0,0,,
F23.98,92,0.95,0.84,1,20,,
F23.99,89,0.95,0.97,1,20,,
F23.100,97,0.94,0.94,1,20,,
F23.101,75,0.78,0.54,1,20,,
F23.102,70.5,0.55,0.52,1,20,,
F23.103,83,0.72,0.76,1,20,,
F23.104,76,0.72,0.585,1,20,,
F23.105,87.5,0.85,0.815,1,20,,
F23.106,81,0.77,0.86,1,20,,
F23.107,91,0.89,0.915,1,20,,
F23.108,87,0.89,0.875,1,20,,
F23.109,40,0,0,0,0,,
F23.110,80,0.72,0.64,1,20,,
F23.111,91.5,0.84,0.93,1,20,,
F23.112,85,0.78,0.82,1,20,,
F23.113,87,0.75,0.68,1,20,,
F23.114,80,0.59,0.5475,1,20,,
F23.115,99,0.99,0.935,1,20,,
